rule,n,positive,trigger,tn,fp,fn,tp,precision,recall,f1
keys_30s_lt5,380,90,146,225,65,9,81,0.5547945205479452,0.9,0.6864406779661016
idle_ge30_and_keys_30s_lt5,380,90,108,247,43,25,65,0.6018518518518519,0.7222222222222222,0.6565656565656566
idle_ge30_no_text_30s,380,90,108,247,43,25,65,0.6018518518518519,0.7222222222222222,0.6565656565656566
idle_ge20_and_keys_30s_lt8,380,90,124,241,49,15,75,0.6048387096774194,0.8333333333333334,0.7009345794392523
idle_ge20_keys30_lt8_no_clipboard,380,90,122,242,48,16,74,0.6065573770491803,0.8222222222222222,0.6981132075471698
