idle_min,keys30_max_exclusive,n,positive,trigger,precision,recall,f1
20,8,182,61,66,0.7272727272727273,0.7868852459016393,0.7559055118110236
20,10,182,61,67,0.7164179104477612,0.7868852459016393,0.75
20,5,182,61,65,0.7230769230769231,0.7704918032786885,0.746031746031746
20,6,182,61,65,0.7230769230769231,0.7704918032786885,0.746031746031746
25,8,182,61,64,0.71875,0.7540983606557377,0.736
25,10,182,61,65,0.7076923076923077,0.7540983606557377,0.7301587301587301
20,4,182,61,63,0.7142857142857143,0.7377049180327869,0.7258064516129032
25,5,182,61,63,0.7142857142857143,0.7377049180327869,0.7258064516129032
25,6,182,61,63,0.7142857142857143,0.7377049180327869,0.7258064516129032
20,3,182,61,61,0.7213114754098361,0.7213114754098361,0.7213114754098361
25,4,182,61,62,0.7096774193548387,0.7213114754098361,0.7154471544715447
20,2,182,61,60,0.7166666666666667,0.7049180327868853,0.7107438016528925
25,3,182,61,60,0.7166666666666667,0.7049180327868853,0.7107438016528925
25,2,182,61,59,0.711864406779661,0.6885245901639344,0.7
35,2,182,61,54,0.7407407407407407,0.6557377049180327,0.6956521739130435
35,3,182,61,54,0.7407407407407407,0.6557377049180327,0.6956521739130435
35,4,182,61,54,0.7407407407407407,0.6557377049180327,0.6956521739130435
35,5,182,61,54,0.7407407407407407,0.6557377049180327,0.6956521739130435
35,6,182,61,54,0.7407407407407407,0.6557377049180327,0.6956521739130435
35,8,182,61,54,0.7407407407407407,0.6557377049180327,0.6956521739130435
35,10,182,61,54,0.7407407407407407,0.6557377049180327,0.6956521739130435
30,2,182,61,57,0.7192982456140351,0.6721311475409836,0.6949152542372882
30,3,182,61,57,0.7192982456140351,0.6721311475409836,0.6949152542372882
30,4,182,61,57,0.7192982456140351,0.6721311475409836,0.6949152542372882
30,5,182,61,57,0.7192982456140351,0.6721311475409836,0.6949152542372882
30,6,182,61,57,0.7192982456140351,0.6721311475409836,0.6949152542372882
30,8,182,61,57,0.7192982456140351,0.6721311475409836,0.6949152542372882
30,10,182,61,57,0.7192982456140351,0.6721311475409836,0.6949152542372882
40,2,182,61,49,0.7346938775510204,0.5901639344262295,0.6545454545454545
40,3,182,61,49,0.7346938775510204,0.5901639344262295,0.6545454545454545
40,4,182,61,49,0.7346938775510204,0.5901639344262295,0.6545454545454545
40,5,182,61,49,0.7346938775510204,0.5901639344262295,0.6545454545454545
40,6,182,61,49,0.7346938775510204,0.5901639344262295,0.6545454545454545
40,8,182,61,49,0.7346938775510204,0.5901639344262295,0.6545454545454545
40,10,182,61,49,0.7346938775510204,0.5901639344262295,0.6545454545454545
45,2,182,61,44,0.75,0.5409836065573771,0.6285714285714286
45,3,182,61,44,0.75,0.5409836065573771,0.6285714285714286
45,4,182,61,44,0.75,0.5409836065573771,0.6285714285714286
45,5,182,61,44,0.75,0.5409836065573771,0.6285714285714286
45,6,182,61,44,0.75,0.5409836065573771,0.6285714285714286
45,8,182,61,44,0.75,0.5409836065573771,0.6285714285714286
45,10,182,61,44,0.75,0.5409836065573771,0.6285714285714286
60,2,182,61,34,0.7941176470588235,0.4426229508196721,0.5684210526315789
60,3,182,61,34,0.7941176470588235,0.4426229508196721,0.5684210526315789
60,4,182,61,34,0.7941176470588235,0.4426229508196721,0.5684210526315789
60,5,182,61,34,0.7941176470588235,0.4426229508196721,0.5684210526315789
60,6,182,61,34,0.7941176470588235,0.4426229508196721,0.5684210526315789
60,8,182,61,34,0.7941176470588235,0.4426229508196721,0.5684210526315789
60,10,182,61,34,0.7941176470588235,0.4426229508196721,0.5684210526315789
