model,threshold,n,positive,predicted_positive,tn,fp,fn,tp,precision,recall,f1,roc_auc,pr_auc
logistic_regression,0.3,366,69,143,223,74,0,69,0.4825174825174825,1.0,0.6509433962264151,0.9086517347386913,0.5425612916531201
logistic_regression,0.4,366,69,131,232,65,3,66,0.5038167938931297,0.9565217391304348,0.66,0.9086517347386913,0.5425612916531201
logistic_regression,0.5,366,69,121,240,57,5,64,0.5289256198347108,0.927536231884058,0.6736842105263158,0.9086517347386913,0.5425612916531201
logistic_regression,0.6,366,69,107,250,47,9,60,0.5607476635514018,0.8695652173913043,0.6818181818181818,0.9086517347386913,0.5425612916531201
