rule,trigger,tp,fp,fn,precision,recall,f1
frontend_10_40,12,7,5,54,0.5833333333333334,0.11475409836065574,0.1917808219178082
frontend_10_45,23,13,10,48,0.5652173913043478,0.21311475409836064,0.30952380952380953
idle_30_no_text,57,41,16,20,0.7192982456140351,0.6721311475409836,0.6949152542372882
keys30_lt5,78,53,25,8,0.6794871794871795,0.8688524590163934,0.762589928057554
