duration_s,total_keys,keys_per_min,pause_P50,pause_P75,pause_P90,pause_P95,pause_P99,pause_mean,pause_std,long_pauses_30s,long_pauses_60s,bs_total,bs_ratio,bs_burst_count,bs_burst_max,bs_then_long_pause,enter_total,enter_ratio,ctrl_total,shift_total,row_changes,row_changes_ratio,burst_count,keys_per_burst,burst_len_mean,burst_len_std,char_count,char_ratio,solution_id,judge
1489.616,111,4.470950902783,1.029,4.42175,31.889300000000002,90.29039999999992,311.7732999999988,20.16058108108108,71.48002412203473,9,5,0,0.0,0,0,0,0,0.0,37,1,26,0.23636363636363636,10,11.1,11.1,16.41005789142744,39,0.35135135135135137,989042,WA
1538.931,281,10.95565688130267,0.425,1.0,3.4049999999999985,12.704199999999984,109.87044000000081,5.823222641509435,37.70367486247642,7,5,0,0.0,0,0,0,11,0.03914590747330961,0,32,39,0.1392857142857143,8,35.125,35.125,30.587732426579123,234,0.8327402135231317,989235,WA
111.169,93,50.19384900466857,0.298,0.668,1.2974,1.7521999999999998,13.229319999999777,1.3265647058823526,7.360309426754956,1,1,0,0.0,0,0,0,5,0.053763440860215055,1,9,8,0.08695652173913043,2,46.5,46.5,44.5,77,0.8279569892473119,989378,WA
1354.975,187,8.280595582944335,0.576,1.575,3.9840000000000004,6.563999999999994,70.54004000000099,7.667288135593219,69.52045684936266,3,2,0,0.0,0,0,0,11,0.058823529411764705,0,28,16,0.08602150537634409,4,46.75,46.75,42.98473566279081,140,0.7486631016042781,989973,PE
442.009,62,8.41611822383707,1.008,3.214,19.8748,59.37029999999999,71.61696,7.503220338983049,17.23984971233778,5,3,0,0.0,0,0,0,7,0.11290322580645161,0,4,17,0.2786885245901639,6,10.333333333333334,10.333333333333334,8.993825042154693,50,0.8064516129032258,990391,WA
769.367,231,18.014809577223872,0.361,1.006,3.391700000000004,18.237749999999902,84.2487399999994,3.5378027522935778,13.730110566804978,7,3,0,0.0,0,0,0,10,0.04329004329004329,0,27,30,0.13043478260869565,8,28.875,28.875,21.733830196263153,180,0.7792207792207793,990488,WA
1066.474,470,26.44227613612709,0.568,1.325,2.757,7.120399999999986,34.07372000000001,2.3685408388520974,9.187738568871103,6,3,0,0.0,0,0,0,30,0.06382978723404255,2,66,42,0.08955223880597014,7,67.14285714285714,67.14285714285714,105.06926772566831,358,0.7617021276595745,990528,WA
1445.669,637,26.43758702718257,0.315,0.97275,2.3155,6.461,46.712400000000045,2.3994636963696365,9.839928664877107,15,5,7,0.01098901098901099,1,7,1,24,0.03767660910518053,14,63,77,0.12106918238993711,16,39.8125,39.8125,40.91487924643063,501,0.7864992150706437,990572,AC
891.948,368,24.754806334001533,0.33,0.909,2.52,4.585,54.8010000000002,2.641841642228739,14.880319761472258,5,3,0,0.0,0,0,0,18,0.04891304347826087,0,65,26,0.07084468664850137,6,61.333333333333336,61.333333333333336,47.11215931747934,252,0.6847826086956522,990694,AC
937.656,402,25.723719573063043,0.7515000000000001,1.7767499999999998,4.086299999999999,6.395649999999999,33.12085999999996,2.524149732620321,9.404025128313075,5,3,0,0.0,0,0,0,23,0.05721393034825871,3,60,43,0.10723192019950124,6,67.0,67.0,55.9076619674501,302,0.7512437810945274,990915,WA
