rule,n,positive,trigger,tn,fp,fn,tp,precision,recall,f1
keys_30s_lt5,320,23,87,229,68,4,19,0.21839080459770116,0.8260869565217391,0.34545454545454546
idle_ge30_and_keys_30s_lt5,320,23,53,254,43,13,10,0.18867924528301888,0.43478260869565216,0.2631578947368421
idle_ge30_no_text_30s,320,23,53,254,43,13,10,0.18867924528301888,0.43478260869565216,0.2631578947368421
idle_ge20_and_keys_30s_lt8,320,23,66,248,49,6,17,0.25757575757575757,0.7391304347826086,0.38202247191011235
idle_ge20_keys30_lt8_no_clipboard,320,23,65,249,48,6,17,0.26153846153846155,0.7391304347826086,0.38636363636363635
