rule,n,positive,trigger,tn,fp,fn,tp,precision,recall,f1
idle_ge30,182,61,57,105,16,20,41,0.7192982456140351,0.6721311475409836,0.6949152542372882
keys30_lt5,182,61,78,96,25,8,53,0.6794871794871795,0.8688524590163934,0.762589928057554
idle_ge30_and_keys30_lt5,182,61,57,105,16,20,41,0.7192982456140351,0.6721311475409836,0.6949152542372882
plus_no_clipboard,182,61,57,105,16,20,41,0.7192982456140351,0.6721311475409836,0.6949152542372882
idle_ge20_and_keys30_lt8_no_clipboard,182,61,66,103,18,13,48,0.7272727272727273,0.7868852459016393,0.7559055118110236
