solution_id,problem_id,judge,has_code,duration_s,total_keys
989042,2132,WA,True,1489.6,111
989046,2132,WA,True,1518.7,113
989084,2130,WA,True,1725.2,824
989120,2127,AC,True,385.2,265
989147,2127,AC,True,569.6,279
989172,1096,TLE,True,1129.4,246
989177,1096,TLE,True,1195.4,274
989184,1096,TLE,True,1221.4,277
989200,1096,TLE,True,1221.4,277
989235,1096,WA,True,1538.9,281
989243,1096,WA,True,1538.9,281
989249,1096,WA,True,1538.9,281
989271,1096,WA,True,1728.8,291
989378,2131,WA,True,111.2,93
989426,2131,WA,True,317.9,114
989516,2127,AC,True,179.5,201
989559,2131,WA,True,962.3,388
989610,2131,WA,True,1140.6,216
989624,1033,AC,True,954.9,763
989631,2131,AC,True,1324.6,394
989693,2131,WA,True,1488.5,226
989803,2137,AC,True,72.4,47
989805,1034,WA,True,661.4,301
989807,1021,AC,True,169.9,146
989832,1022,AC,True,305.9,159
989856,1023,WA,True,133.9,79
989864,1023,WA,True,189.5,80
989871,1023,AC,True,257.8,83
989917,1024,AC,True,121.1,92
989954,1562,PE,True,1172.5,169
989957,1562,PE,True,1172.5,169
989959,1562,PE,True,1172.5,169
989973,1562,PE,True,1355.0,187
989983,1562,PE,True,1409.8,201
990034,1034,AC,True,1348.8,353
990038,1463,WA,True,1031.9,605
990053,1463,AC,True,1161.8,640
990123,1564,WA,True,143.7,33
990129,0,?,True,334.9,123
990134,1564,AC,True,143.7,33
990169,1057,WA,True,1254.6,489
990197,1026,OLE,True,564.6,373
990198,1057,AC,True,1468.8,503
990221,1006,AC,True,1702.9,669
990228,1085,AC,True,128.2,135
990231,1026,WA,True,788.7,392
990285,1026,AC,True,788.7,392
990362,1218,WA,True,493.7,311
990364,1218,WA,True,556.1,335
990371,1052,WA,True,595.6,729
990381,1064,AC,True,675.4,214
990391,2058,WA,True,442.0,62
990400,2130,WA,True,905.4,234
990410,2132,AC,True,1001.4,36
990431,2031,WA,True,821.6,485
990439,2132,AC,True,1157.5,38
990459,2031,WA,True,1010.1,486
990478,1528,AC,True,1443.7,452
990481,1748,AC,True,804.8,432
990488,1039,WA,True,769.4,231
990495,2031,AC,True,1271.8,502
990503,1748,AC,True,804.8,432
990510,1039,WA,True,960.4,284
990521,2132,AC,True,1782.3,44
990522,2131,WA,True,1162.5,250
990524,2016,AC,True,896.8,185
990528,1453,WA,True,1066.5,470
990532,1453,WA,True,1097.0,475
990534,1453,WA,True,1146.8,478
990547,1899,AC,True,198.8,82
990572,1097,AC,True,1445.7,637
990607,2012,AC,True,699.3,154
990618,2132,WA,True,529.6,54
990637,1040,WA,True,568.2,352
990655,1901,WA,True,973.7,493
990663,2131,WA,True,1486.2,196
990667,2131,WA,True,1486.2,196
990670,2131,WA,True,1645.3,199
990672,1901,WA,True,1248.8,553
990686,1901,WA,True,1371.6,625
990694,1798,AC,True,891.9,368
990695,1901,WA,True,1386.6,628
990704,2131,WA,True,1313.5,36
990723,1824,WA,True,147.2,159
990724,1824,AC,True,190.8,163
990766,2080,AC,True,519.5,88
990793,2132,WA,True,371.1,68
990864,1534,OLE,True,986.9,256
990872,1534,AC,True,1036.3,260
990892,2131,WA,True,529.1,165
990893,0,CE,True,369.6,200
990909,1026,AC,True,600.1,424
990915,1525,WA,True,937.7,402
990916,2086,AC,True,429.1,614
990923,1525,AC,True,1093.3,404
990934,2115,AC,True,908.0,414
990941,1029,WA,True,344.6,48
990948,1072,WA,True,417.8,356
990949,1029,WA,True,344.6,48
990954,2131,WA,True,1214.5,164
990963,2107,AC,True,646.2,432
990972,1009,CE,True,424.5,302
990973,2080,AC,True,1431.3,685
990979,1009,WA,True,477.3,320
990986,1524,WA,True,546.6,306
990996,1009,TLE,True,599.7,382
990998,1432,WA,True,579.3,440
991007,2131,WA,True,160.2,30
991009,1432,AC,True,722.9,447
991016,1668,WA,True,1115.2,1260
991026,1798,PE,True,1395.1,297
991027,1668,WA,True,1206.5,1262
991032,1798,PE,True,1430.8,311
991038,2108,WA,True,481.3,355
991042,2131,WA,True,515.9,34
991048,1798,PE,True,1598.8,312
991049,2131,CE,True,695.7,207
991050,2108,WA,True,623.5,373
991051,2131,WA,True,812.4,209
991053,2108,WA,True,643.4,392
991055,1668,WA,True,1477.4,1269
991061,2131,AC,True,669.8,47
991069,2108,WA,True,784.3,433
991073,1009,WA,True,1331.1,624
