rule,n,positive,predicted_positive,tn,fp,fn,tp,precision,recall,f1,accuracy
keys_30s_lt_5,356,18,127,229,109,0,18,0.14173228346456693,1.0,0.2482758620689655,0.6938202247191011
keys_60s_lt_20,356,18,129,222,116,5,13,0.10077519379844961,0.7222222222222222,0.17687074829931973,0.6601123595505618
idle_ge_30_and_no_text,356,18,102,245,93,9,9,0.08823529411764706,0.5,0.15,0.7134831460674157
low_speed_mid_task,356,18,16,335,3,5,13,0.8125,0.7222222222222222,0.7647058823529411,0.9775280898876404
conservative_stuck_candidate,356,18,0,338,0,18,0,0.0,0.0,0.0,0.949438202247191
exclude_clipboard_then_low_speed,356,18,16,335,3,5,13,0.8125,0.7222222222222222,0.7647058823529411,0.9775280898876404
