n,positive,trigger,tp,fp,fn,precision,recall,f1,roc_auc,pr_auc,brier,ece,labels,features,model,f1_mean,f1_ci_low,f1_ci_high
366,69,0,0,0,69,0.0,0.0,0.0,0.5,0.2487288903922152,0.15298306906745499,5.551115123125783e-17,recall_candidates,none,majority,0.0,0.0,0.0
366,69,111,63,48,6,0.5675675675675675,0.9130434782608695,0.6999999999999998,,,,,recall_candidates,full,rule,0.7003983658142313,0.625,0.7636631016042781
366,69,117,64,53,5,0.5470085470085471,0.927536231884058,0.6881720430107527,0.9116771580539696,0.5494046648916983,0.11170481078970461,0.09944181143843757,recall_candidates,full,logistic,0.6879181509062208,0.6140307451797812,0.7500500000000001
366,69,114,63,51,6,0.5526315789473685,0.9130434782608695,0.6885245901639344,0.9095300834431269,0.555032639521856,0.10938637279403925,0.09823959782236735,recall_candidates,full,random_forest,0.6893208183640521,0.6117483660130719,0.7580645161290321
366,69,111,63,48,6,0.5675675675675675,0.9130434782608695,0.6999999999999998,,,,,recall_candidates,no_idle_pause,rule,0.7003983658142313,0.625,0.7636631016042781
366,69,125,64,61,5,0.512,0.927536231884058,0.6597938144329897,0.9045039769677451,0.5650034090707234,0.12122240347425768,0.11695932940031017,recall_candidates,no_idle_pause,logistic,0.6596465423659388,0.5871559633027523,0.7244094488188976
366,69,118,64,54,5,0.5423728813559322,0.927536231884058,0.6844919786096256,0.9084077489874591,0.5467664795403111,0.11190282945565606,0.10570856324571569,recall_candidates,no_idle_pause,random_forest,0.6848777742431892,0.6125515345854329,0.7480182926829269
366,69,111,63,48,6,0.5675675675675675,0.9130434782608695,0.6999999999999998,,,,,recall_candidates,minimal,rule,0.7003983658142313,0.625,0.7636631016042781
366,69,136,66,70,3,0.4852941176470588,0.9565217391304348,0.6439024390243901,0.9132386668618553,0.5967620510156747,0.13023824039459714,0.15430142628745755,recall_candidates,minimal,logistic,0.6442052145570185,0.5663345267851111,0.7131782945736435
366,69,117,64,53,5,0.5470085470085471,0.927536231884058,0.6881720430107527,0.9161664958766408,0.5729813526610603,0.10983017682001492,0.0990882759603881,recall_candidates,minimal,random_forest,0.6887399374510144,0.6140350877192983,0.7543942403177756
320,23,0,0,0,23,0.0,0.0,0.0,0.5,0.14481305318435742,0.06670898437499999,1.3877787807814457e-17,human_reviewed,none,majority,0.0,0.0,0.0
320,23,65,17,48,6,0.26153846153846155,0.7391304347826086,0.38636363636363635,,,,,human_reviewed,full,rule,0.3848416728648628,0.28571428571428575,0.48003703703703704
320,23,69,21,48,2,0.30434782608695654,0.9130434782608695,0.45652173913043476,0.9243156199677939,0.3734665155652907,0.10276987779375757,0.1318195935560486,human_reviewed,full,logistic,0.45177808534470965,0.34615384615384615,0.5538461538461538
320,23,45,18,27,5,0.4,0.782608695652174,0.5294117647058824,0.9218269653052261,0.363582101878986,0.07133675945538971,0.09127990110433416,human_reviewed,full,random_forest,0.5258985746950806,0.4,0.641600730371272
320,23,65,17,48,6,0.26153846153846155,0.7391304347826086,0.38636363636363635,,,,,human_reviewed,no_idle_pause,rule,0.3848416728648628,0.28571428571428575,0.48003703703703704
320,23,90,20,70,3,0.2222222222222222,0.8695652173913043,0.35398230088495575,0.8701507831942614,0.28223713499373426,0.13707458014914098,0.1760978340384919,human_reviewed,no_idle_pause,logistic,0.3507268991275401,0.26470588235294124,0.43243243243243246
