cooldown_s,candidates,sessions,mean_per_session,max_per_session
0,172322,37462,4.599914580107843,25
300,78379,37462,2.0922267898136777,6
600,56153,37462,1.4989322513480328,3
900,47216,37462,1.2603705087822326,2
