cooldown_s,candidate_count,sessions,mean_candidates_per_session,p95_candidates_per_session
0,172453,37454,4.6043947241950125,11.0
60,148784,37454,3.972446200672825,9.0
300,78414,37454,2.0936081593421263,4.0
600,56161,37454,1.4994660116409462,3.0
900,47217,37454,1.2606664174720992,2.0
1200,42364,37454,1.1310941421477012,2.0
