n,positive_rate,predicted_rate,precision,recall,f1,false_prompts,false_prompt_rate,tp,tn,fp,fn,label,parameter,idle_s,keys_limit,split,f1_ci_low,f1_ci_high,context_s
98,0.20408163265306123,0.22448979591836735,0.7272727272727273,0.8,0.761904761904762,6,0.07692307692307693,16,72,6,4,recall_candidates,idle_s,60,8,test,0.6338516746411483,0.8571428571428571,
268,0.1828358208955224,0.1044776119402985,0.5714285714285714,0.32653061224489793,0.41558441558441556,12,0.0547945205479452,16,207,12,33,recall_candidates,idle_s,90,8,dev,,,
98,0.20408163265306123,0.16326530612244897,0.6875,0.55,0.6111111111111112,5,0.0641025641025641,11,73,5,9,recall_candidates,idle_s,90,8,test,0.375,0.7272727272727272,
268,0.1828358208955224,0.0708955223880597,0.5789473684210527,0.22448979591836735,0.32352941176470584,8,0.0365296803652968,11,211,8,38,recall_candidates,idle_s,120,8,dev,,,
98,0.20408163265306123,0.14285714285714285,0.7142857142857143,0.5,0.588235294117647,4,0.05128205128205128,10,74,4,10,recall_candidates,idle_s,120,8,test,0.3333333333333333,0.7200000000000001,
268,0.1828358208955224,0.2462686567164179,0.5757575757575758,0.7755102040816326,0.6608695652173914,28,0.1278538812785388,38,191,28,11,recall_candidates,keys_30s_limit,30,1,dev,,,
98,0.20408163265306123,0.336734693877551,0.5454545454545454,0.9,0.679245283018868,15,0.19230769230769232,18,63,15,2,recall_candidates,keys_30s_limit,30,1,test,0.5277863777089784,0.7894736842105263,
268,0.1828358208955224,0.2462686567164179,0.5757575757575758,0.7755102040816326,0.6608695652173914,28,0.1278538812785388,38,191,28,11,recall_candidates,keys_30s_limit,30,2,dev,,,
98,0.20408163265306123,0.336734693877551,0.5454545454545454,0.9,0.679245283018868,15,0.19230769230769232,18,63,15,2,recall_candidates,keys_30s_limit,30,2,test,0.5277863777089784,0.7894736842105263,
268,0.1828358208955224,0.2462686567164179,0.5757575757575758,0.7755102040816326,0.6608695652173914,28,0.1278538812785388,38,191,28,11,recall_candidates,keys_30s_limit,30,3,dev,,,
